event_id,m1,m2,Lambda14
GW170817_toy,1.3200858047639612,1.2155790804699438,512.4689386003735
GW170817_toy,1.3884473218807092,1.2583184494061543,301.5203034314397
GW170817_toy,1.3073629705264975,1.2489549804852134,396.5398409398778
GW170817_toy,1.318479766560302,1.2522273486220847,459.45093119842136
GW170817_toy,1.4481328305708674,1.3355521922466456,362.03302101750006
GW170817_toy,1.3986898561436574,1.302548792424154,387.6126493398483
GW170817_toy,1.3682085277760117,1.1565520966311305,307.52553330154484
GW170817_toy,1.4082449518308517,1.3091759828135803,281.0051841885947
GW170817_toy,1.3479658851855627,1.315872016865881,332.80383857271835
GW170817_toy,1.4505895986154398,1.2618714680755234,237.66010022113363
GW170817_toy,1.2992907444140582,1.317633447136238,267.53908568015265
GW170817_toy,1.3945848631521558,1.1829917899215012,338.9813771647763
GW170817_toy,1.3836249280782735,1.191204681838182,466.4725638400857
GW170817_toy,1.3457432528014537,1.318983184079274,342.35993525466273
GW170817_toy,1.3751246911000945,1.250750106382178,379.9735365980798
GW170817_toy,1.4418630310273235,1.2756795603494953,309.37188914748606
GW170817_toy,1.387286112486779,1.3267918650114743,299.23952425188804
GW170817_toy,1.3546112895253772,1.3017050962247196,659.5001174585378
GW170817_toy,1.377089551789035,1.2249827039618328,481.71296098919345
GW170817_toy,1.38657124892376,1.1986607227890749,583.9693130864352
GW170817_toy,1.4351362686234967,1.2634322781277172,323.7898939811064
GW170817_toy,1.3364968887972193,1.1027909261041202,280.51209433630254
GW170817_toy,1.3543550681095649,1.2924372275822158,315.1431628158076
GW170817_toy,1.4330241613582664,1.2098850716385123,499.5231763677589
GW170817_toy,1.322063803054532,1.27143554756979,371.12080012076046
GW170817_toy,1.4246722647171106,1.2611913480383585,162.11889387560487
GW170817_toy,1.4013461948886523,1.2176342191960752,305.1431875284164
GW170817_toy,1.4380036568712264,1.273390057381828,362.35269914448673
GW170817_toy,1.2862684914693365,1.3388362172463668,472.04447418797054
GW170817_toy,1.431892522659979,1.2821224121007146,122.94455235604218
GW170817_toy,1.423340323553376,1.2342405120045388,333.5680103224613
GW170817_toy,1.3528341243328796,1.2741461979545599,467.89125973680245
GW170817_toy,1.2681232237980598,1.3005974298301912,113.98279631873947
GW170817_toy,1.3073767925785647,1.2345053266976693,166.92970855557945
GW170817_toy,1.2939480406924406,1.2716270562818048,295.86618782055484
GW170817_toy,1.321304515080956,1.2926566200091791,298.86442952348784
GW170817_toy,1.4158578873633751,1.246662802344236,463.4275442168107
GW170817_toy,1.4332015534315115,1.217786126198975,307.60942008787384
GW170817_toy,1.32190870860883,1.2954452803387506,431.59259577237697
GW170817_toy,1.3625609986784217,1.2247189072081583,378.97747437757397
GW170817_toy,1.4004738386396298,1.2223684262667909,286.017194778314
GW170817_toy,1.3280836884661054,1.2647674337359067,525.003266587972
GW170817_toy,1.3578741268747476,1.236201258503983,430.34320004541325
GW170817_toy,1.394517638829227,1.2265840296465218,319.15763561343175
GW170817_toy,1.3507715364154087,1.227279922203854,516.4675643071155
GW170817_toy,1.2923261298873778,1.2631824737907302,578.5274280157389
GW170817_toy,1.31933255347732,1.1518460614196888,438.89453616078976
GW170817_toy,1.3761500469473777,1.2818731980695317,537.4037017710214
GW170817_toy,1.3388962933141295,1.231391166073556,320.0399600155617
GW170817_toy,1.3150949540504595,1.2581322196283016,472.209023012128
GW170817_toy,1.3829111366485247,1.2853542987883237,367.53593529422983
GW170817_toy,1.3031113733477313,1.2487628792172147,385.48374120102557
GW170817_toy,1.4414325345843888,1.184978517407995,445.34797350593493
GW170817_toy,1.33767747575805,1.2130987391818657,223.97191887533404
GW170817_toy,1.3793003978094156,1.2799814929307032,393.4718722698833
GW170817_toy,1.4156859113577533,1.1993542062874687,226.70588996881813
GW170817_toy,1.3731603753830293,1.1557568621012153,249.01209386550312
GW170817_toy,1.330846837840118,1.2687631152809453,335.01012631165503
GW170817_toy,1.4131434626595327,1.2961359465788433,204.97677495890213
GW170817_toy,1.3917656604984898,1.2463841018454442,374.469653477512
GW170817_toy,1.2804487707392695,1.3297245636543167,219.02952646943558
GW170817_toy,1.2988367729161259,1.3657254357829416,465.0282941612697
GW170817_toy,1.343298704427836,1.3062929283375613,44.96019920478574
GW170817_toy,1.3554073706027934,1.2751041971691819,405.8752920353119
GW170817_toy,1.3567177288090764,1.21303296817457,147.18387348001428
